meter_id,building_id,meter_status,readings_expected,n_accepted,completeness_pct,n_rejected,reject_rate_pct,n_duplicate_readings,n_late,reliability_flag
90,89,active,672,661,98.4,2,0.3,3,1,reliable
128,19,active,672,661,98.4,2,0.3,2,2,reliable
293,22,active,672,661,98.4,2,0.3,9,5,reliable
243,188,active,672,661,98.4,2,0.3,1,1,reliable
321,130,active,672,661,98.4,2,0.3,4,2,reliable
438,25,active,672,661,98.4,2,0.3,5,1,reliable
447,118,active,672,661,98.4,1,0.2,2,1,reliable
372,172,active,672,661,98.4,1,0.2,6,4,reliable
481,170,active,672,661,98.4,1,0.2,4,2,reliable
486,171,active,672,661,98.4,1,0.2,2,2,reliable
464,115,active,672,661,98.4,1,0.2,7,3,reliable
58,90,active,672,661,98.4,1,0.2,7,2,reliable
32,48,active,672,661,98.4,1,0.2,6,3,reliable
469,194,active,672,661,98.4,1,0.2,11,4,reliable
489,196,active,672,661,98.4,1,0.2,7,1,reliable
336,62,active,672,661,98.4,0,0.0,3,1,reliable
488,6,active,672,662,98.5,4,0.6,3,0,reliable
93,126,active,672,662,98.5,4,0.6,7,2,reliable
373,29,active,672,662,98.5,4,0.6,3,1,reliable
82,106,active,672,662,98.5,4,0.6,7,4,reliable
430,111,active,672,662,98.5,4,0.6,4,3,reliable
291,105,active,672,662,98.5,4,0.6,4,1,reliable
407,120,active,672,662,98.5,4,0.6,4,4,reliable
272,126,active,672,662,98.5,3,0.5,3,2,reliable
71,110,active,672,662,98.5,3,0.5,5,1,reliable
195,76,active,672,662,98.5,3,0.5,4,2,reliable
440,89,active,672,662,98.5,3,0.5,6,2,reliable
168,143,active,672,662,98.5,3,0.5,2,0,reliable
439,199,active,672,662,98.5,3,0.5,5,2,reliable
456,27,active,672,662,98.5,3,0.5,7,3,reliable
444,98,active,672,662,98.5,3,0.5,7,2,reliable
56,197,active,672,662,98.5,3,0.5,2,0,reliable
109,77,active,672,662,98.5,3,0.5,3,1,reliable
129,58,maintenance,672,662,98.5,3,0.5,3,2,reliable
467,140,active,672,662,98.5,2,0.3,10,2,reliable
448,15,active,672,662,98.5,2,0.3,4,2,reliable
73,77,active,672,662,98.5,2,0.3,4,2,reliable
87,184,active,672,662,98.5,2,0.3,4,1,reliable
59,31,active,672,662,98.5,2,0.3,4,0,reliable
166,91,active,672,662,98.5,2,0.3,5,0,reliable
350,104,active,672,662,98.5,2,0.3,7,3,reliable
494,77,active,672,662,98.5,2,0.3,5,2,reliable
346,107,active,672,662,98.5,2,0.3,3,3,reliable
186,161,active,672,662,98.5,2,0.3,4,2,reliable
391,195,active,672,662,98.5,2,0.3,3,1,reliable
20,200,active,672,662,98.5,2,0.3,0,0,reliable
495,8,active,672,662,98.5,1,0.2,9,3,reliable
52,52,active,672,662,98.5,1,0.2,4,1,reliable
38,156,active,672,662,98.5,1,0.2,2,1,reliable
262,141,active,672,662,98.5,1,0.2,6,1,reliable
185,106,active,672,662,98.5,0,0.0,5,1,reliable
420,186,active,672,662,98.5,0,0.0,7,0,reliable
165,6,active,672,662,98.5,0,0.0,3,2,reliable
151,91,active,672,662,98.5,0,0.0,4,3,reliable
460,2,active,672,662,98.5,0,0.0,4,0,reliable
462,147,active,672,663,98.7,6,0.9,5,3,reliable
319,14,active,672,663,98.7,5,0.7,5,2,reliable
158,60,active,672,663,98.7,5,0.7,7,3,reliable
16,145,active,672,663,98.7,4,0.6,4,1,reliable
176,124,active,672,663,98.7,4,0.6,8,4,reliable
193,44,active,672,663,98.7,4,0.6,3,2,reliable
416,152,active,672,663,98.7,4,0.6,0,0,reliable
33,187,active,672,663,98.7,4,0.6,7,2,reliable
178,33,active,672,663,98.7,4,0.6,7,2,reliable
36,53,active,672,663,98.7,4,0.6,7,3,reliable
211,26,active,672,663,98.7,4,0.6,8,1,reliable
181,169,active,672,663,98.7,4,0.6,2,1,reliable
426,95,maintenance,672,663,98.7,4,0.6,10,5,reliable
296,102,active,672,663,98.7,3,0.5,5,2,reliable
433,98,active,672,663,98.7,3,0.5,6,3,reliable
479,153,active,672,663,98.7,3,0.5,10,2,reliable
466,13,active,672,663,98.7,3,0.5,5,2,reliable
364,188,active,672,663,98.7,3,0.5,6,2,reliable
285,35,active,672,663,98.7,3,0.5,10,4,reliable
414,132,active,672,663,98.7,3,0.5,6,2,reliable
213,189,active,672,663,98.7,3,0.5,6,1,reliable
116,75,active,672,663,98.7,3,0.5,2,1,reliable
299,163,active,672,663,98.7,3,0.5,7,3,reliable
265,101,active,672,663,98.7,3,0.5,6,1,reliable
396,61,active,672,663,98.7,3,0.5,3,1,reliable
370,118,active,672,663,98.7,3,0.5,8,5,reliable
330,200,active,672,663,98.7,3,0.5,4,4,reliable
98,69,active,672,663,98.7,2,0.3,2,0,reliable
492,8,active,672,663,98.7,2,0.3,5,3,reliable
55,148,active,672,663,98.7,2,0.3,4,2,reliable
345,162,active,672,663,98.7,2,0.3,3,2,reliable
369,190,active,672,663,98.7,2,0.3,11,4,reliable
471,68,active,672,663,98.7,2,0.3,4,2,reliable
277,122,active,672,663,98.7,2,0.3,4,1,reliable
240,38,active,672,663,98.7,2,0.3,4,3,reliable
457,63,active,672,663,98.7,2,0.3,4,3,reliable
143,172,active,672,663,98.7,2,0.3,3,1,reliable
222,183,active,672,663,98.7,2,0.3,4,2,reliable
417,75,active,672,663,98.7,2,0.3,6,2,reliable
91,101,active,672,663,98.7,2,0.3,7,4,reliable
72,128,active,672,663,98.7,2,0.3,4,0,reliable
378,54,active,672,663,98.7,2,0.3,3,1,reliable
7,151,active,672,663,98.7,1,0.2,6,2,reliable
365,133,active,672,663,98.7,1,0.2,4,2,reliable
284,18,active,672,663,98.7,1,0.2,5,2,reliable
408,187,active,672,663,98.7,1,0.2,3,1,reliable
484,77,active,672,663,98.7,1,0.2,6,2,reliable
43,100,active,672,663,98.7,1,0.2,5,3,reliable
75,48,active,672,663,98.7,1,0.2,2,1,reliable
290,79,active,672,663,98.7,1,0.2,5,2,reliable
354,175,active,672,663,98.7,1,0.2,5,1,reliable
297,160,active,672,663,98.7,1,0.2,4,2,reliable
338,162,active,672,663,98.7,1,0.2,5,5,reliable
148,58,active,672,663,98.7,1,0.2,7,2,reliable
67,47,active,672,663,98.7,1,0.2,5,2,reliable
88,176,active,672,663,98.7,1,0.2,9,8,reliable
4,142,active,672,663,98.7,1,0.2,4,3,reliable
12,62,active,672,663,98.7,1,0.2,2,2,reliable
192,162,active,672,663,98.7,1,0.2,4,2,reliable
388,31,active,672,663,98.7,0,0.0,1,0,reliable
389,146,active,672,663,98.7,0,0.0,7,4,reliable
375,38,active,672,663,98.7,0,0.0,3,0,reliable
320,152,active,672,664,98.8,4,0.6,5,2,reliable
180,156,active,672,664,98.8,4,0.6,2,1,reliable
318,188,active,672,664,98.8,4,0.6,2,1,reliable
223,145,active,672,664,98.8,3,0.4,9,7,reliable
120,168,active,672,664,98.8,3,0.4,2,1,reliable
347,197,active,672,664,98.8,3,0.4,2,1,reliable
239,66,active,672,664,98.8,3,0.4,3,2,reliable
384,181,active,672,664,98.8,3,0.4,6,5,reliable
39,23,active,672,664,98.8,3,0.4,1,0,reliable
155,32,active,672,664,98.8,2,0.3,1,1,reliable
11,168,active,672,664,98.8,2,0.3,4,2,reliable
323,197,active,672,664,98.8,2,0.3,8,5,reliable
419,2,active,672,664,98.8,2,0.3,4,1,reliable
251,107,active,672,664,98.8,2,0.3,4,1,reliable
99,12,active,672,664,98.8,2,0.3,4,4,reliable
218,117,active,672,664,98.8,2,0.3,2,1,reliable
44,17,active,672,664,98.8,2,0.3,6,4,reliable
266,117,active,672,664,98.8,2,0.3,4,1,reliable
332,103,active,672,664,98.8,2,0.3,2,1,reliable
351,91,active,672,664,98.8,1,0.2,8,3,reliable
162,184,active,672,664,98.8,1,0.2,7,2,reliable
22,85,active,672,664,98.8,1,0.2,9,5,reliable
273,135,active,672,664,98.8,1,0.2,4,3,reliable
303,42,active,672,664,98.8,1,0.2,5,4,reliable
394,81,active,672,664,98.8,1,0.2,4,3,reliable
81,170,active,672,664,98.8,1,0.2,6,1,reliable
106,75,active,672,664,98.8,1,0.2,0,0,reliable
395,102,active,672,664,98.8,1,0.2,3,0,reliable
260,47,active,672,664,98.8,1,0.2,1,0,reliable
113,1,active,672,664,98.8,0,0.0,1,0,reliable
139,154,active,672,664,98.8,0,0.0,5,2,reliable
490,37,active,672,664,98.8,0,0.0,6,3,reliable
110,13,active,672,665,99.0,4,0.6,7,5,reliable
230,56,active,672,665,99.0,4,0.6,3,0,reliable
83,54,active,672,665,99.0,4,0.6,2,2,reliable
66,31,active,672,665,99.0,4,0.6,5,1,reliable
279,42,active,672,665,99.0,3,0.4,6,2,reliable
310,89,active,672,665,99.0,3,0.4,6,2,reliable
10,131,active,672,665,99.0,3,0.4,4,2,reliable
172,37,active,672,665,99.0,3,0.4,5,2,reliable
423,3,active,672,665,99.0,2,0.3,5,1,reliable
441,17,active,672,665,99.0,2,0.3,3,1,reliable
413,70,active,672,665,99.0,2,0.3,7,4,reliable
19,117,active,672,665,99.0,2,0.3,7,3,reliable
404,68,active,672,665,99.0,2,0.3,9,6,reliable
209,24,active,672,665,99.0,2,0.3,4,3,reliable
289,18,active,672,665,99.0,2,0.3,2,1,reliable
100,18,active,672,665,99.0,1,0.2,3,1,reliable
206,12,active,672,665,99.0,1,0.2,6,3,reliable
46,193,active,672,665,99.0,1,0.2,2,0,reliable
314,166,active,672,665,99.0,1,0.2,5,1,reliable
325,124,active,672,665,99.0,1,0.2,5,0,reliable
169,130,active,672,665,99.0,0,0.0,3,1,reliable
174,2,active,672,665,99.0,0,0.0,5,3,reliable
95,14,active,672,665,99.0,0,0.0,6,3,reliable
380,68,active,672,665,99.0,0,0.0,3,2,reliable
295,85,active,672,665,99.0,0,0.0,6,3,reliable
37,123,active,672,665,99.0,0,0.0,5,3,reliable
483,12,active,672,666,99.1,3,0.4,6,3,reliable
161,34,active,672,666,99.1,3,0.4,4,1,reliable
311,21,active,672,666,99.1,3,0.4,5,4,reliable
356,72,active,672,666,99.1,2,0.3,5,1,reliable
381,170,active,672,666,99.1,2,0.3,2,1,reliable
220,96,active,672,666,99.1,2,0.3,2,0,reliable
86,94,active,672,666,99.1,2,0.3,4,2,reliable
281,35,active,672,666,99.1,2,0.3,4,1,reliable
431,119,active,672,666,99.1,2,0.3,4,2,reliable
253,113,active,672,666,99.1,2,0.3,3,0,reliable
459,65,active,672,666,99.1,1,0.1,2,0,reliable
183,83,active,672,666,99.1,1,0.1,6,3,reliable
163,103,active,672,666,99.1,1,0.1,2,0,reliable
271,123,active,672,666,99.1,1,0.1,5,1,reliable
92,43,active,672,666,99.1,1,0.1,5,0,reliable
142,73,active,672,666,99.1,1,0.1,6,1,reliable
301,124,active,672,666,99.1,1,0.1,1,1,reliable
132,118,active,672,666,99.1,0,0.0,4,1,reliable
17,67,active,672,666,99.1,0,0.0,2,1,reliable
229,88,active,672,666,99.1,0,0.0,4,1,reliable
412,134,active,672,666,99.1,0,0.0,0,0,reliable
259,88,active,672,666,99.1,0,0.0,1,0,reliable
316,7,active,672,666,99.1,0,0.0,5,3,reliable
236,133,active,672,666,99.1,0,0.0,6,3,reliable
371,129,active,672,666,99.1,0,0.0,1,0,reliable
300,132,active,672,667,99.3,2,0.3,3,1,reliable
153,188,active,672,667,99.3,2,0.3,0,0,reliable
409,96,active,672,667,99.3,2,0.3,7,4,reliable
255,34,active,672,667,99.3,2,0.3,5,0,reliable
57,171,active,672,667,99.3,2,0.3,3,2,reliable
124,176,active,672,667,99.3,1,0.1,2,2,reliable
154,45,active,672,667,99.3,1,0.1,4,2,reliable
421,64,active,672,667,99.3,1,0.1,3,2,reliable
41,128,active,672,667,99.3,1,0.1,4,1,reliable
150,47,active,672,667,99.3,1,0.1,2,1,reliable
105,105,active,672,667,99.3,1,0.1,5,2,reliable
127,15,active,672,667,99.3,1,0.1,0,0,reliable
65,5,active,672,667,99.3,1,0.1,2,0,reliable
317,8,active,672,667,99.3,0,0.0,3,1,reliable
443,20,active,672,667,99.3,0,0.0,6,2,reliable
6,90,active,672,667,99.3,0,0.0,2,1,reliable
26,102,active,672,668,99.4,3,0.4,3,1,reliable
131,147,active,672,668,99.4,2,0.3,11,3,reliable
136,188,active,672,668,99.4,2,0.3,4,0,reliable
343,193,active,672,668,99.4,1,0.1,4,2,reliable
62,120,active,672,668,99.4,0,0.0,5,2,reliable
392,26,active,672,668,99.4,0,0.0,3,1,reliable
119,168,active,672,668,99.4,0,0.0,3,1,reliable
42,38,active,672,669,99.6,2,0.3,4,2,reliable
202,185,active,672,669,99.6,1,0.1,3,2,reliable
13,39,active,672,669,99.6,1,0.1,3,3,reliable
175,93,active,672,669,99.6,1,0.1,7,4,reliable
248,39,active,672,669,99.6,0,0.0,5,1,reliable
267,153,active,672,670,99.7,2,0.3,7,2,reliable
145,188,active,672,670,99.7,0,0.0,4,2,reliable
418,111,active,336,658,100.0,5,0.8,3,0,reliable
353,162,active,336,660,100.0,5,0.8,6,3,reliable
478,78,active,336,662,100.0,5,0.7,1,0,reliable
40,136,active,168,663,100.0,5,0.7,6,4,reliable
170,33,active,168,663,100.0,5,0.7,8,3,reliable
54,156,active,336,663,100.0,4,0.6,3,1,reliable
232,18,active,336,661,100.0,4,0.6,4,4,reliable
493,157,active,336,664,100.0,4,0.6,5,2,reliable
102,155,maintenance,336,654,100.0,4,0.6,3,3,reliable
190,18,active,336,663,100.0,4,0.6,6,4,reliable
472,169,active,168,660,100.0,4,0.6,6,4,reliable
337,189,active,168,663,100.0,4,0.6,5,3,reliable
410,153,active,168,657,100.0,3,0.5,8,1,reliable
188,193,active,168,660,100.0,3,0.5,6,3,reliable
9,185,active,168,664,100.0,3,0.4,7,2,reliable
390,110,active,336,664,100.0,2,0.3,7,4,reliable
96,67,active,336,658,100.0,2,0.3,6,2,reliable
476,175,active,336,662,100.0,2,0.3,7,2,reliable
219,27,active,168,659,100.0,2,0.3,5,4,reliable
292,108,active,336,658,100.0,2,0.3,6,3,reliable
53,35,active,336,660,100.0,2,0.3,5,4,reliable
366,105,active,336,662,100.0,2,0.3,7,2,reliable
331,103,active,336,663,100.0,2,0.3,4,3,reliable
400,46,active,168,663,100.0,2,0.3,9,4,reliable
216,115,active,336,659,100.0,2,0.3,6,4,reliable
309,160,active,336,664,100.0,1,0.2,4,1,reliable
189,89,active,336,660,100.0,1,0.2,6,1,reliable
226,135,active,336,665,100.0,1,0.2,5,1,reliable
334,142,active,336,663,100.0,0,0.0,2,0,reliable
482,176,active,336,666,100.0,0,0.0,4,2,reliable
399,136,active,336,665,100.0,0,0.0,7,4,reliable
45,193,active,336,664,100.0,0,0.0,3,3,reliable
