meter_id,building_id,meter_type,installation_date,status,expected_reading_frequency_minutes
241,154,electricity_main,2024-11-19,inactive,15
242,165,electricity_main,2022-06-06,active,15
243,188,solar_generation,2023-09-30,active,15
244,185,electricity_main,2023-09-08,active,15
245,144,electricity_main,2024-07-19,maintenance,15
246,99,electricity_main,2025-08-02,active,15
247,144,electricity_submeter,2024-08-04,active,15
248,39,electricity_submeter,2025-06-04,active,15
249,156,solar_generation,2024-09-07,active,15
250,126,electricity_main,2025-03-31,active,15
251,107,electricity_submeter,2022-11-11,active,15
252,75,electricity_submeter,2024-07-04,inactive,15
253,113,solar_generation,2022-06-11,active,15
254,80,electricity_main,2023-03-02,inactive,15
255,34,electricity_main,2024-10-30,active,15
256,161,electricity_main,2022-08-04,active,15
257,142,electricity_submeter,2024-03-14,active,15
258,49,electricity_submeter,2025-02-16,active,15
259,88,electricity_main,2025-04-13,active,15
260,47,electricity_main,2023-11-14,active,15
261,35,electricity_main,2023-04-04,active,15
262,141,electricity_main,2023-03-19,active,15
263,12,electricity_main,2025-09-19,active,15
264,125,electricity_main,2025-12-29,inactive,15
265,101,electricity_main,2025-03-01,active,15
266,117,electricity_main,2023-11-28,active,15
267,153,electricity_submeter,2024-03-17,active,15
268,40,electricity_submeter,2025-03-03,maintenance,15
269,24,electricity_main,2025-07-23,active,15
270,165,solar_generation,2024-06-04,active,15
271,123,electricity_main,2023-03-09,active,15
272,126,electricity_main,2025-10-17,active,15
273,135,electricity_main,2022-10-08,active,15
274,185,electricity_main,2025-08-26,active,15
275,85,electricity_main,2022-12-10,maintenance,15
276,2,electricity_main,2023-09-20,active,15
277,122,electricity_main,2025-01-31,active,15
278,136,electricity_main,2022-01-07,maintenance,15
279,42,electricity_main,2022-10-31,active,15
280,29,electricity_submeter,2023-08-01,active,15
281,35,electricity_main,2022-10-13,active,15
282,106,electricity_submeter,2024-07-26,maintenance,15
283,131,solar_generation,2023-08-12,active,15
284,18,electricity_main,2025-01-06,active,15
285,35,electricity_main,2022-09-28,active,15
286,43,electricity_submeter,2025-08-18,active,15
287,24,electricity_main,2023-01-07,inactive,15
288,186,electricity_submeter,2022-11-25,active,15
289,18,electricity_submeter,2022-08-25,active,15
290,79,electricity_submeter,2025-09-01,active,15
291,105,electricity_submeter,2022-03-15,active,15
292,108,electricity_main,2025-01-14,active,30
293,22,electricity_main,2024-11-29,active,15
294,197,electricity_submeter,2024-12-23,active,15
295,85,electricity_main,2022-06-22,active,15
296,102,electricity_main,2024-04-30,active,15
297,160,electricity_submeter,2022-12-27,active,15
298,160,electricity_submeter,2022-10-03,maintenance,15
299,163,solar_generation,2025-09-02,active,15
300,132,solar_generation,2023-11-23,active,15
301,124,electricity_main,2025-07-02,active,15
302,123,electricity_submeter,2025-12-01,active,15
303,42,electricity_main,2023-05-07,active,15
304,190,electricity_main,2022-02-05,active,15
305,122,electricity_main,2023-12-25,active,15
306,151,electricity_main,2022-02-15,inactive,15
307,72,electricity_main,2024-12-30,active,15
308,147,electricity_main,2025-07-17,active,15
309,160,electricity_main,2022-12-25,active,30
310,89,electricity_submeter,2024-11-02,active,15
311,21,electricity_main,2023-11-27,active,15
312,4,electricity_submeter,2025-07-20,active,15
313,26,solar_generation,2022-07-25,inactive,15
314,166,electricity_main,2023-04-30,active,15
315,38,electricity_main,2022-06-25,maintenance,15
316,7,electricity_submeter,2022-07-13,active,15
317,8,electricity_submeter,2024-07-10,active,15
318,188,electricity_main,2024-11-06,active,15
319,14,electricity_submeter,2022-09-05,active,15
320,152,electricity_submeter,2022-12-26,active,15
321,130,electricity_main,2025-06-04,active,15
322,151,electricity_submeter,2022-11-13,inactive,15
323,197,electricity_main,2024-04-10,active,15
324,90,electricity_submeter,2024-06-10,active,15
325,124,electricity_submeter,2024-09-12,active,15
326,11,electricity_main,2023-08-21,active,15
327,167,electricity_main,2024-12-20,active,15
328,8,electricity_main,2025-01-15,active,15
329,145,electricity_main,2025-09-16,active,15
330,200,electricity_main,2024-12-12,active,15
331,103,electricity_main,2025-09-07,active,30
332,103,electricity_main,2023-10-20,active,15
333,118,electricity_main,2022-01-01,active,15
334,142,electricity_main,2022-02-16,active,30
335,194,electricity_submeter,2022-09-02,active,15
336,62,electricity_submeter,2023-08-25,active,15
337,189,electricity_submeter,2024-01-01,active,60
338,162,electricity_main,2022-11-23,active,15
339,128,solar_generation,2024-04-30,maintenance,15
340,69,electricity_submeter,2024-07-21,inactive,15
341,76,electricity_submeter,2024-02-11,active,15
342,49,solar_generation,2025-12-10,inactive,15
343,193,electricity_main,2023-01-28,active,15
344,35,electricity_submeter,2024-01-09,active,15
345,162,electricity_main,2023-05-02,active,15
346,107,electricity_main,2025-05-26,active,15
347,197,electricity_main,2024-03-19,active,15
348,52,electricity_main,2024-08-15,active,15
349,185,electricity_main,2024-04-29,active,15
350,104,electricity_main,2024-06-04,active,15
351,91,electricity_submeter,2025-03-18,active,15
352,119,electricity_main,2025-08-12,active,15
353,162,electricity_submeter,2024-08-21,active,30
354,175,electricity_main,2023-12-23,active,15
355,149,electricity_main,2022-11-24,active,15
356,72,electricity_main,2022-01-27,active,15
357,127,electricity_submeter,2025-02-07,active,15
358,173,electricity_main,2023-11-25,active,15
359,173,electricity_main,2022-11-23,active,15
360,28,solar_generation,2025-04-18,active,15
361,107,solar_generation,2022-01-27,inactive,15
362,175,solar_generation,2025-01-19,inactive,30
363,39,electricity_main,2024-03-14,active,15
364,188,electricity_main,2024-06-16,active,15
365,133,electricity_main,2024-12-16,active,15
366,105,electricity_main,2023-11-21,active,30
367,27,electricity_main,2024-12-06,active,15
368,146,solar_generation,2023-11-09,active,15
369,190,electricity_main,2025-06-08,active,15
370,118,solar_generation,2024-06-22,active,15
371,129,electricity_main,2025-12-12,active,15
372,172,electricity_main,2023-05-12,active,15
373,29,electricity_main,2023-02-21,active,15
374,64,electricity_main,2025-05-15,inactive,15
375,38,electricity_submeter,2022-06-19,active,15
376,55,electricity_submeter,2022-08-11,active,15
377,91,electricity_main,2022-07-24,active,15
378,54,electricity_main,2023-02-13,active,15
379,66,electricity_main,2024-08-08,active,15
380,68,electricity_main,2023-10-29,active,15
381,170,electricity_main,2024-02-14,active,15
382,152,electricity_main,2023-05-19,active,15
383,167,electricity_main,2025-10-07,active,15
384,181,electricity_submeter,2023-02-20,active,15
385,197,electricity_main,2025-12-03,active,15
386,108,electricity_main,2022-08-03,maintenance,15
387,16,electricity_submeter,2023-10-23,active,15
388,31,electricity_main,2025-11-28,active,15
389,146,electricity_main,2025-10-12,active,15
390,110,solar_generation,2023-09-11,active,30
391,195,electricity_main,2023-01-13,active,15
392,26,electricity_submeter,2023-02-13,active,15
393,183,electricity_main,2025-11-26,active,15
394,81,electricity_main,2023-07-27,active,15
395,102,electricity_main,2024-09-12,active,15
396,61,electricity_main,2024-11-12,active,15
397,12,electricity_main,2024-04-15,inactive,15
398,149,electricity_main,2022-02-26,active,15
399,136,electricity_main,2024-12-26,active,30
400,46,electricity_submeter,2024-06-04,active,60
401,98,electricity_main,2023-05-14,active,15
402,157,electricity_main,2022-09-17,active,15
403,122,electricity_main,2023-01-22,active,15
404,68,electricity_main,2023-02-04,active,15
405,183,electricity_main,2023-07-07,active,15
406,66,electricity_main,2022-05-12,active,15
407,120,solar_generation,2025-12-17,active,15
408,187,electricity_submeter,2023-04-05,active,15
409,96,electricity_main,2025-07-31,active,15
410,153,solar_generation,2023-03-27,active,60
411,90,electricity_main,2025-01-29,active,15
412,134,electricity_submeter,2025-01-29,active,15
413,70,electricity_main,2022-05-23,active,15
414,132,electricity_main,2023-10-17,active,15
415,10,electricity_main,2025-07-07,inactive,15
416,152,electricity_main,2023-04-24,active,15
417,75,electricity_main,2024-01-04,active,15
418,111,electricity_submeter,2023-08-27,active,30
419,2,solar_generation,2025-02-19,active,15
420,186,electricity_main,2024-02-08,active,15
421,64,solar_generation,2023-01-20,active,15
422,77,electricity_main,2024-11-18,active,15
423,3,electricity_main,2022-04-09,active,15
424,76,solar_generation,2022-06-23,inactive,15
425,53,electricity_main,2023-04-17,active,15
426,95,electricity_main,2022-08-17,maintenance,15
427,63,electricity_main,2025-06-27,inactive,15
428,180,solar_generation,2022-06-16,inactive,15
429,66,electricity_main,2023-06-03,active,15
430,111,electricity_main,2025-08-04,active,15
431,119,electricity_submeter,2022-02-26,active,15
432,90,solar_generation,2022-05-18,active,15
433,98,electricity_main,2022-07-19,active,15
434,94,electricity_main,2023-03-10,active,15
435,133,electricity_main,2023-07-18,active,15
436,66,electricity_main,2023-07-21,active,15
437,4,electricity_main,2023-07-08,maintenance,15
438,25,electricity_submeter,2025-08-21,active,15
439,199,solar_generation,2024-10-16,active,15
440,89,electricity_main,2024-03-31,active,15
441,17,electricity_submeter,2024-11-22,active,15
442,90,electricity_submeter,2025-01-06,active,15
443,20,electricity_main,2024-03-23,active,15
444,98,electricity_main,2023-09-06,active,15
445,62,electricity_main,2022-10-26,inactive,15
446,17,electricity_main,2022-10-19,maintenance,15
447,118,electricity_main,2024-06-10,active,15
448,15,electricity_main,2024-11-29,active,15
449,198,electricity_submeter,2025-10-17,active,15
450,175,electricity_main,2023-09-29,active,15
451,59,electricity_submeter,2024-05-23,maintenance,15
452,79,electricity_main,2023-07-16,active,15
453,55,electricity_submeter,2022-09-12,active,15
454,169,electricity_main,2022-02-17,active,15
455,59,solar_generation,2023-01-19,active,15
456,27,electricity_main,2024-04-17,active,15
457,63,electricity_main,2025-04-22,active,15
458,43,electricity_main,2025-06-21,active,15
459,65,electricity_main,2022-09-06,active,15
460,2,electricity_main,2024-11-22,active,15
461,16,electricity_main,2022-05-10,active,15
462,147,electricity_main,2022-12-09,active,15
463,178,electricity_main,2023-12-15,maintenance,15
464,115,electricity_main,2025-04-27,active,15
465,23,electricity_submeter,2024-08-29,active,15
466,13,electricity_main,2023-06-20,active,15
467,140,electricity_main,2023-03-23,active,15
468,162,electricity_main,2025-06-27,active,15
469,194,electricity_main,2025-05-22,active,15
470,23,electricity_submeter,2022-03-10,maintenance,15
471,68,electricity_main,2024-12-28,active,15
472,169,electricity_main,2023-06-09,active,60
473,195,electricity_main,2023-01-12,active,15
474,123,electricity_submeter,2024-05-20,active,15
475,78,electricity_main,2025-03-22,active,15
476,175,solar_generation,2023-04-27,active,30
477,100,electricity_main,2023-09-01,active,15
478,78,electricity_main,2022-12-12,active,30
479,153,electricity_main,2022-06-30,active,15
480,31,electricity_submeter,2025-08-07,active,15
481,170,electricity_submeter,2024-07-11,active,15
482,176,electricity_main,2024-05-05,active,30
483,12,electricity_submeter,2024-05-07,active,15
484,77,electricity_main,2025-12-27,active,15
485,68,electricity_main,2023-12-04,active,15
486,171,electricity_main,2024-05-01,active,15
487,38,electricity_submeter,2024-07-25,active,15
488,6,electricity_main,2024-06-04,active,15
489,196,electricity_submeter,2025-06-28,active,15
490,37,electricity_submeter,2022-11-20,active,15
491,193,electricity_main,2024-05-13,active,15
492,8,electricity_main,2024-11-22,active,15
493,157,electricity_main,2022-07-28,active,30
494,77,electricity_main,2024-01-08,active,15
495,8,electricity_main,2025-04-05,active,15
496,115,electricity_main,2022-06-11,inactive,15
497,39,solar_generation,2022-03-16,inactive,15
498,199,electricity_main,2024-03-17,active,15
499,40,electricity_submeter,2022-02-19,inactive,15
500,144,electricity_main,2023-02-09,inactive,30
